Current Time,Light Sensor Input,Sound Sensor Input,Start Time
2020-05-11 10:33:24.987742,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:27.125724,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:27.214840,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:29.605112,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:31.726238,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:34.203782,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:34.321692,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:36.326531,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:38.804063,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:38.920742,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:40.926775,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:43.404622,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:43.527160,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:45.552078,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:48.017119,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:50.163603,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:52.625963,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:54.747277,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:57.224284,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:57.357974,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:33:59.347594,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:01.841956,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:01.935412,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:03.964576,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:06.425628,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:06.515323,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:08.548334,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:11.009588,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:11.103352,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:13.131958,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:15.610739,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:15.722834,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:17.733385,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:20.197953,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:22.319410,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:22.985121,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:34:23.065362,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:34:23.396217,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:34:23.491849,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:34:23.543581,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:34:24.781890,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:26.903076,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:29.365823,1,0,2020-05-11 10:31:23.070889
